sample	x1	x2	x3	x4	target
1	0.4329	-1.3719	0.7022	-0.8535	1.00
2	0.3024	0.2286	0.8630	2.7909	-1.00
3	0.1349	-0.6445	1.0530	0.5687	-1.00
4	0.3374	-1.7163	0.3670	-0.6283	-1.00
5	1.1434	-0.0485	0.6637	1.2606	1.00
6	1.3749	-0.5071	0.4464	1.3009	1.00
7	0.7221	-0.7587	0.7681	-0.5592	1.00
8	0.4403	-0.8072	0.5154	-0.3129	1.00
9	-0.5231	0.3548	0.2538	1.5776	-1.00
10	0.3255	-2.0000	0.7112	-1.1209	1.00
11	0.5824	1.3915	-0.2291	4.1735	-1.00
12	0.1340	0.6081	0.4450	3.2230	-1.00
13	0.1480	-0.2988	0.4778	0.8649	1.00
14	0.7359	0.1869	-0.0872	2.3584	1.00
15	0.7115	-1.1469	0.3394	0.9573	-1.00
16	0.8251	-1.2840	0.8452	1.2382	-1.00
17	0.1569	0.3712	0.8825	1.7633	1.00
18	0.0033	0.6835	0.5389	2.8249	-1.00
19	0.4243	0.8313	0.2634	3.5855	-1.00
20	1.0490	0.1326	0.9138	1.9792	1.00
21	1.4276	0.5331	-0.0145	3.7286	1.00
22	0.5971	1.4865	0.2904	4.6069	-1.00
23	0.8475	2.1479	0.3179	5.8235	-1.00
24	1.3967	-0.4171	0.6443	1.3927	1.00
25	0.0044	1.5378	0.6099	4.7755	-1.00
26	0.2201	-0.5668	0.0515	0.7829	1.00
27	0.6300	-1.2480	0.8591	0.8093	-1.00
28	-0.2479	0.8960	0.0547	1.7381	1.00
29	-0.3088	-0.0929	0.8659	1.5483	-1.00
30	-0.5180	1.4974	0.5453	2.3993	1.00
31	0.6833	0.8266	0.0829	2.8864	1.00
32	0.4353	-1.4066	0.4207	-0.4879	1.00
33	-0.1069	-3.2329	0.1856	-2.4572	-1.00
34	0.4662	0.6261	0.7304	3.4370	-1.00
35	0.8298	-1.4089	0.3119	1.3235	-1.00
